triggerDesc,percentage,triggerType
this trigger fires every time a new book is added to the best sellers list you specify. note: limited to 20 items per check.,0.03,manual_interaction
this trigger fires every time a new item in the feed you specify contains a particular keyword or simple phrase.,0.13,schedule
this trigger fires every time a new item is added to the feed you specify.,0.32,manual_interaction
this trigger fires every time a new notification is received on your android device from an app that you specify. note: will not fire for ifttt app notifications.,0.37,external_service
this trigger fires every time a new photo is added to your camera roll.,0.16,manual_interaction
this trigger fires every time a new photo is taken on your android device in an area you specify.,0.03,external_service
this trigger fires every time a new post becomes one of the ten hottest posts in the subreddit you specify.,0.03,external_service
this trigger fires every time a new reminder is added to the list you specify.,0.08,manual_interaction
this trigger fires every time a new reminder is completed in a list you specify.,0.03,schedule
this trigger fires every time a new track is added to a playlist you specify.,0.16,manual_interaction
this trigger fires every time a new tweet matches your search query. note: limited to 15 tweets per check.,0.16,external_service
this trigger fires every time a new user starts following you.,0.16,device_state
this trigger fires every time a previously-connected device connects to your tp-link router.,0.03,schedule
this trigger fires every time a previously-connected device disconnects from your tp-link router.,0.03,schedule
this trigger fires every time a rule on a sighthound video camera you specify sends an event. you must first configure rules in sighthound video to “send an ifttt event”.,0.03,external_service
this trigger fires every time a sighthound video rule you specify sends an event. you must first configure the rule in sighthound video to “send an ifttt event”.,0.03,external_service
this trigger fires every time a smoke sensor senses smoke.,0.03,schedule
"this trigger fires every time a song is played on amazon prime music. note: this trigger does not apply to songs provided by spotify, pandora, podcasts and sample clips.",0.32,external_service
this trigger fires every time a specific channel publishes a video.,0.03,schedule
this trigger fires every time a specific device connects to asus router.,0.03,schedule
this trigger fires every time a specific person arrives home.,0.08,schedule
this trigger fires every time a specific user you are subscribed to makes a new video public.,0.55,schedule
this trigger fires every time a specified camera detects motion.,0.13,motion
this trigger fires every time a stream is going live for the specified channel that you follow.,0.13,schedule
this trigger fires every time a tag detects vibrations.,0.03,schedule
this trigger fires every time a watering time starts for the device your specify.,0.03,device_state
this trigger fires every time an air quality alert is raised by your withings home.,0.05,weather
this trigger fires every time an alarm is detected.,0.05,external_service
this trigger fires every time an alarm is triggered on your system.,0.08,external_service
this trigger fires every time an astronaut enters space.,0.11,schedule
this trigger fires every time an audio event is detected.,0.26,audio
this trigger fires every time an event matches the specified criteria.,0.05,schedule
"this trigger fires every time an opportunity changes to the 'closed won' stage. note: for realtime notifications, you or your salesforce administrator must install the ifttt salesforce package. for more details see: ift.tt/salesforce",0.03,external_service
this trigger fires every time any friend checks in on foursquare or swarm in an area you specify. ,0.03,motion
this trigger fires every time any issue is closed in a repository you own or collaborate on.,0.03,device_state
this trigger fires every time any new notification is received on your android device. note: will not fire for ifttt app notifications.,0.08,external_service
this trigger fires every time any reminder is completed.,0.05,schedule
this trigger fires every time ifttt receives a specific event from apilio.,0.74,external_service
this trigger fires every time it is christmas in the time zone you specify.,0.21,schedule
this trigger fires every time motion is no longer detected in a room.,0.03,motion
this trigger fires every time nasa posts a new astronomy picture of the day. ,0.03,schedule
this trigger fires every time nasa posts to the image of the day gallery.,0.03,schedule
this trigger fires every time netatmo welcome detects a specific person already known by the camera.,0.03,schedule
this trigger fires every time smoke is detected,0.08,device_state
this trigger fires every time somebody rings your ring doorbell.,0.92,schedule
this trigger fires every time someone already identified by the camera arrives home.,0.05,schedule
this trigger fires every time someone locks the door with lock 'n' go by pressing the button on the smart lock twice.,0.03,device_state
this trigger fires every time someone unknown rings the doorbell connected to the opener.,0.03,schedule
this trigger fires every time someone unlocks the door with auto unlock.,0.05,schedule
this trigger fires every time the ambient air pressure rises above a value you specify.,0.03,weather
this trigger fires every time the button is pressed on your skybell hd.,0.24,manual_interaction
this trigger fires every time the camera detects a motion event.,0.29,motion
this trigger fires every time the camera detects a sound or motion event.,0.08,audio
this trigger fires every time the camera detects motion. requires motion detection to be enabled on your camera.,0.03,motion
this trigger fires every time the carbon dioxide drops below a value you specify.,0.13,weather
this trigger fires every time the carbon dioxide rises above a value you specify.,0.29,weather
this trigger fires every time the clock timer on your cooktop has elapsed.,0.08,device_state
this trigger fires every time the clock timer on your oven has elapsed.,0.08,device_state
this trigger fires every time the door is locked.,0.03,device_state
this trigger fires every time the door is unlocked.,0.05,device_state
this trigger fires every time the home you specify is set to away.,0.5,schedule
this trigger fires every time the home you specify is set to home.,0.26,schedule
this trigger fires every time the humidity drops below a percentage you specify.,0.03,weather
this trigger fires every time the ifttt blog posts something tagged 'updates.' it's an easy way to stay on top of new services or features.,0.05,external_service
this trigger fires every time the international space station passes over a location you specify. note: the iss completes 15.5 orbits per day.,0.26,schedule
this trigger fires every time the laundry cycle ends.,0.08,device_state
this trigger fires every time the nest protect you specify detects dangerous carbon monoxide levels.,0.29,weather
this trigger fires every time the nest protect you specify detects dangerous smoke levels.,0.55,schedule
this trigger fires every time the nest protect you specify detects warning carbon monoxide levels.,0.16,weather
this trigger fires every time the nest protect you specify detects warning smoke levels.,0.37,schedule
this trigger fires every time the netatmo welcome detects a person that has already been identified.,0.08,schedule
this trigger fires every time the netatmo welcome detects an unknown person.,0.11,schedule
this trigger fires every time the noise rises above a decibel value you specify.,0.08,schedule
this trigger fires every time the power rises above the specified value in watts.,0.03,schedule
this trigger fires every time the preheating phase has finished. please note that you have to start the heating program with enabled fast preheat.,0.11,schedule
this trigger fires every time the president signs a new bill into law.,0.03,schedule
this trigger fires every time the specified lock is locked.,0.03,device_state
this trigger fires every time the specified lock is unlocked.,0.13,device_state
this trigger fires every time the temperature at your weatherflow tempest station drops below a value that you select.,0.03,weather
this trigger fires every time the temperature drops below a threshold you specify.,0.08,weather
this trigger fires every time the temperature drops below a value you specify.,0.13,weather
this trigger fires every time the temperature drops below the chosen value.,0.03,weather
this trigger fires every time the temperature measured by your spotter rises above the value you specify.,0.03,weather
this trigger fires every time the temperature rises above a threshold you specify.,0.08,weather
this trigger fires every time the temperature rises above a value you specify.,0.16,weather
this trigger fires every time the temperature rises above the chosen value.,0.03,weather
this trigger fires every time the thermostat you specify is set to a certain heating mode.,0.05,device_state
this trigger fires every time the twitter user you specify tweets.,0.24,schedule
this trigger fires every time the wind speed rises above a value you specify in your location.,0.03,schedule
this trigger fires every time the wind speed rises above a value you specify.,0.03,schedule
this trigger fires every time the you ask alexa what's on your shopping list.,0.05,audio
this trigger fires every time the you ask alexa what's on your to do list.,0.24,audio
this trigger fires every time there is a new follower of your channel.,0.26,schedule
this trigger fires every time there is a new survey response for the survey you specify.,0.03,schedule
this trigger fires every time tomorrow’s forecasted low temperature drops below a value you provide.,0.03,weather
this trigger fires every time when a low battery event is detected by spotcam ring video doorbell or spotcam solo.,0.03,device_state
this trigger fires every time when a person is detected.,0.03,device_state
this trigger fires every time when a virtual fence is crossed,0.03,schedule
this trigger fires every time when spotcam ring battery cover is removed.,0.03,schedule
this trigger fires every time when spotcam ring video doorbell is pressed.,0.03,manual_interaction
this trigger fires every time when your alarm panel is armed,0.05,external_service
this trigger fires every time when your alarm panel is disarmed.,0.05,external_service
this trigger fires every time you achieve your daily distance goal.,0.08,schedule
this trigger fires every time you achieve your daily point goal.,0.03,schedule
this trigger fires every time you achieve your daily step goal.,0.18,schedule
this trigger fires every time you add a new reminder.,0.21,manual_interaction
this trigger fires every time you add an item to your shopping list.,0.03,manual_interaction
this trigger fires every time you add an item to your to do list.,0.34,manual_interaction
this trigger fires every time you add money to your porkfolio.,0.03,manual_interaction
this trigger fires every time you answer a phone call on your android device from a number you specify.,0.03,external_service
this trigger fires every time you are @mentioned in a tweet.,0.29,external_service
this trigger fires every time you are tagged you in a new photo. note: facebook privacy settings may block ifttt’s access to some photos you are tagged in.,0.98,external_service
"this trigger fires every time you ask alexa for a team's next game. for example, 'alexa, when do the toronto blue jays play?'",0.03,audio
"this trigger fires every time you check in on foursquare or swarm
with a single hashtag in the shout (e.g. #ifttt).",0.03,external_service
this trigger fires every time you check in to a venue in a specific category on foursquare or swarm. it only works with public check-ins.,0.05,device_state
this trigger fires every time you click a button on thinga.,0.08,manual_interaction
this trigger fires every time you click the selected flic.,0.58,manual_interaction
this trigger fires every time you complete an item on your to do list.,0.11,device_state
this trigger fires every time you create a new link post on facebook.,0.03,external_service
this trigger fires every time you create a new plain text status message on facebook with a specific hashtag.,0.03,external_service
this trigger fires every time you create a new plain text status message on facebook.,0.53,external_service
this trigger fires every time you create a new status message on your facebook page.,0.03,external_service
this trigger fires every time you do a long press on the configured logi button.,0.03,manual_interaction
this trigger fires every time you do a short press on the configured logi button.,0.03,manual_interaction
this trigger fires every time you do not achieve a daily goal you choose at the time you specify. note: updated on the first fitbit tracker sync after the time you specify.,0.03,device_state
this trigger fires every time you double press your misfit flash button.,0.08,manual_interaction
this trigger fires every time you enter an area you specify.,2.9,motion
this trigger fires every time you enter or exit an area you specify.,0.08,motion
this trigger fires every time you exit an area you specify.,1.77,motion
this trigger fires every time you favorite a public photo on flickr.,0.03,device_state
this trigger fires every time you follow a new show on spotify.,0.03,external_service
this trigger fires every time you have a new weight from your withings scale.,0.03,schedule
this trigger fires every time you leave any voicemail at your ifttt phone number.,0.05,external_service
this trigger fires every time you like a tweet.,0.08,external_service
this trigger fires every time you like a video on youtube.,0.11,external_service
this trigger fires every time you log sleep above the target hours you specify.,0.11,external_service
this trigger fires every time you log your weight in the fitbit app or with the aria scale.,0.08,external_service
this trigger fires every time you miss a phone call on your android device from a number you specify.,0.21,external_service
this trigger fires every time you miss a phone call on your android device.,0.42,external_service
this trigger fires every time you or someone in your orion group says a particular word or phrase.,0.05,schedule
this trigger fires every time you place a phone call on your android device.,0.16,external_service
this trigger fires every time you post a new photo on facebook.,0.08,external_service
this trigger fires every time you post a new tweet with a specific hashtag.,0.16,external_service
this trigger fires every time you post a new tweet.,0.08,external_service
this trigger fires every time you post on facebook at a location you specify. ,0.03,external_service
this trigger fires every time you press the action button on lametric time.,0.05,manual_interaction
this trigger fires every time you press the button.,2.93,manual_interaction
this trigger fires every time you press the stone.,0.08,manual_interaction
this trigger fires every time you publish a new post on your public wordpress blog.,0.03,external_service
this trigger fires every time you receive a new notification from a specific repository on github.,0.05,device_state
this trigger fires every time you receive a new voicemail.,0.05,schedule
this trigger fires every time you receive an incoming call from a number that is not in your contact list.,0.05,schedule
this trigger fires every time you receive an incoming call from a phone number in your contact list.,0.08,schedule
this trigger fires every time you receive an incoming call.,0.11,schedule
this trigger fires every time you receive an sms on your android device from a phone number you specify.,0.08,external_service
this trigger fires every time you receive an sms on your android device that matches a search you specify.,0.08,external_service
this trigger fires every time you receive any new sms on your android device.,0.55,external_service
this trigger fires every time you save a new track to your music on spotify.,0.26,external_service
"this trigger fires every time you say 'alexa trigger' + the phrase that you have defined. for instance, if you set 'party time' as the phrase, you can say 'alexa trigger party time' to have your lights loop colors.",8.59,audio
this trigger fires every time you send an sms on your android device that matches a search you specify.,0.05,external_service
this trigger fires every time you send an sms on your android device to a phone number you specify.,0.03,external_service
this trigger fires every time you send an sms on your android device.,0.05,external_service
this trigger fires every time you share a photo on instagram with a hashtag you specify.,0.03,external_service
this trigger fires every time you share any new photo on instagram.,0.18,device_state
this trigger fires every time you share any new video on instagram.,0.03,device_state
this trigger fires every time you single press your misfit flash button.,0.03,manual_interaction
this trigger fires every time you start a live event on vimeo. note: vimeo's live api is available only to vimeo enterprise customers.,0.03,device_state
this trigger fires every time you submit any new note.,0.05,schedule
this trigger fires every time you take a photo with the front camera.,0.05,schedule
this trigger fires every time you take a photo with the rear camera.,0.03,schedule
this trigger fires every time you take any new photo via do camera.,0.03,schedule
this trigger fires every time you triple press your misfit flash button.,0.03,manual_interaction
this trigger fires every time you upload a new public video to youtube.,0.08,external_service
"this trigger fires every time your air purifier registers an air quality you specify (poor, moderate, good).",0.03,weather
this trigger fires every time your alarm goes off.,1.4,external_service
this trigger fires every time your android device connects to a wifi network you specify.,0.29,external_service
this trigger fires every time your android device connects to any wifi network.,0.05,external_service
this trigger fires every time your android device disconnects from a wifi network you specify.,0.21,external_service
this trigger fires every time your android device disconnects from any wifi network.,0.03,external_service
this trigger fires every time your android device is plugged in.,0.18,external_service
this trigger fires every time your android device is unplugged.,0.03,external_service
this trigger fires every time your android device's battery drops below 15%.,0.18,external_service
this trigger fires every time your cloudbit receives an input signal from another littlebits module.,0.05,schedule
this trigger fires every time your cookit has finished successfully.,0.08,schedule
this trigger fires every time your d-link camera detects a sound event.,0.03,audio
this trigger fires every time your d-link device detects a motion event.,0.05,motion
this trigger fires every time your d-link water sensor detects a leak event.,0.03,schedule
this trigger fires every time your device is nearly out of battery.,0.03,schedule
this trigger fires every time your dishwasher cycle is complete.,0.08,schedule
this trigger fires every time your dishwasher door has been opened.,0.03,device_state
"this trigger fires every time your dryer cycle is complete. this requires both the drying and wrinkle guard to be finished, in case you were using wrinkle guard.",0.08,schedule
this trigger fires every time your ecobee light switch is turned off.,0.03,device_state
this trigger fires every time your ecobee light switch is turned on.,0.03,device_state
this trigger fires every time your ecobee thermostat and room sensors change to smart home or smart away comfort profiles.,0.05,schedule
this trigger fires every time your fitbit logs new sleep.,0.24,external_service
this trigger fires every time your ge dishwasher finishes a cycle.,0.05,schedule
this trigger fires every time your ge dryer finishes a cycle.,0.05,schedule
this trigger fires every time your ge washer finishes a cycle.,0.03,schedule
this trigger fires every time your home exits away mode.,0.03,device_state
this trigger fires every time your hood is turned off.,0.03,device_state
this trigger fires every time your hood is turned on.,0.03,device_state
this trigger fires every time your ifttt tag on mesh app receives an input signal from the other tag.,0.11,external_service
this trigger fires every time your lock is locked by a specific person.,0.05,device_state
this trigger fires every time your lock is unlocked by a specific person.,0.08,device_state
this trigger fires every time your misfit shine logs sleep with a duration above the target hours you specify.,0.03,external_service
this trigger fires every time your myfox security system detects an intrusion.,0.05,external_service
this trigger fires every time your myfox security system is armed.,0.03,external_service
this trigger fires every time your myfox security system is disarmed.,0.05,external_service
"this trigger fires every time your myfox security system receives an alarm (detection, intrusion, silent alert, ...).",0.13,external_service
this trigger fires every time your netatmo presence detects a person outside.,0.05,schedule
this trigger fires every time your netatmo presence detects a vehicle outside.,0.05,schedule
this trigger fires every time your netatmo rain gauge detects that it is no longer raining.,0.05,weather
this trigger fires every time your netatmo rain gauge detects that it is raining.,0.16,weather
this trigger fires every time your oven door has been closed.,0.03,device_state
this trigger fires every time your oven door has been opened.,0.03,device_state
this trigger fires every time your oven has finished successfully.,0.13,schedule
this trigger fires every time your oven is turned on.,0.05,device_state
this trigger fires every time your oven turns off after the cooking timer reaches zero.,0.03,device_state
this trigger fires every time your refrigerator door is opened.,0.03,device_state
this trigger fires every time your refrigerator or freezer doors are open.,0.03,schedule
this trigger fires every time your roxxter has started.,0.03,schedule
this trigger fires every time your site changes modes.,0.05,schedule
this trigger fires every time your skybell hd detects motions.,0.16,schedule
this trigger fires every time your smartthings device detects temperatures above a value you specify.,0.03,weather
this trigger fires every time your smartthings device detects temperatures below a value you specify.,0.05,weather
this trigger fires every time your smartthings device is opened.,0.13,device_state
this trigger fires every time your smartthings device is switched off.,0.03,device_state
this trigger fires every time your smartthings device is switched on.,0.05,device_state
this trigger fires every time your smartthings device senses motion.,0.18,motion
this trigger fires every time your smartthings device's presence is detected.,0.11,device_state
this trigger fires every time your smartthings device's presence is no longer detected.,0.08,device_state
this trigger fires every time your thermostat is nearly out of battery.,0.03,schedule
this trigger fires every time your timer goes off.,0.87,device_state
this trigger fires every time your washer cycle is complete.,0.13,schedule
this trigger fires every time your weatherflow tempest station detects the start of rain.,0.05,weather
this trigger fires every time your wemo insight switch enters standby mode. the switch enters standby mode when the device attached to it is manually powered off or stops drawing power.,0.03,device_state
this trigger fires every time your wemo insight switch is turned off.,0.03,device_state
this trigger fires every time your wemo insight switch is turned on.,0.08,device_state
this trigger fires every time your wemo light switch is turned off.,0.18,device_state
this trigger fires every time your wemo light switch is turned on or off with a long press over two seconds.,0.58,manual_interaction
this trigger fires every time your wemo light switch is turned on.,0.29,device_state
this trigger fires every time your wemo light switches off.,0.08,device_state
this trigger fires every time your wemo light switches on.,0.11,device_state
this trigger fires every time your wemo motion sensor detects new motion after a specific period of inactivity.,0.03,motion
this trigger fires every time your wemo motion sensor detects new motion.,0.29,motion
this trigger fires every time your wemo switch is turned off.,0.24,device_state
this trigger fires every time your wemo switch is turned on.,0.13,device_state
this trigger fires every time your wine cooler door has been opened.,0.03,device_state
this trigger fires every time your withings home detects motion.,0.24,motion
"this trigger fires every time your withings sleep detects that you get into bed, within the start and end time parameters that you specify. ",0.13,schedule
"this trigger fires every time your withings sleep detects that you get out of bed, within the start and end time parameters that you specify.",0.13,schedule
this trigger fires every year on the fourth of july at the time you specify.,0.05,device_state
"this trigger fires for a given combination of iot device, zone and action",0.03,other
this trigger fires for an account that is on a dynamic pricing plan such as the residential hourly pricing program or other real time market rates whenever the average price changes.,0.08,pricing
this trigger fires if aura detects motion. note: this trigger only works with the first generation of aura devices (sold prior to october 2017).,0.03,motion
this trigger fires if the concentration of carbon dioxide (co₂) measured from your awair device rises above the threshold you specified for more than 30 seconds.,0.16,weather
this trigger fires if the thermostat encounters an error.,0.03,other
this trigger fires if you tap a gesture with a custom ifttt task matching the id of this trigger.,0.4,external_service
this trigger fires once a year on the date and time you specify.,1.87,device_state
"this trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",1.0,schedule
this trigger fires only on specific days of the week at the time you provide.,4.38,device_state
this trigger fires when a blue by adt alarm event occurs.,0.03,external_service
this trigger fires when a blue by adt sensor notices activity in the home.,0.03,other
this trigger fires when a contact sensor closes.,0.03,device_state
this trigger fires when a contact sensor opens.,0.05,device_state
this trigger fires when a device attached to your homeseer system is turned off.,0.03,device_state
this trigger fires when a door is closed.,0.08,device_state
this trigger fires when a door is open. this trigger will only work with 'garage mode'. remote access must be enabled.,0.03,device_state
this trigger fires when a door is opened.,0.11,device_state
"this trigger fires when a door opens, closes, or moves.",0.03,device_state
this trigger fires when a given parameter exceed a given threshold.,0.03,other
this trigger fires when a given parameter falls below a certain threshold.,0.03,other
this trigger fires when a human is detected by beseye camera.,0.03,device_state
this trigger fires when a knx device or binary switch is turned off.,0.03,device_state
this trigger fires when a knx scene is started.,0.03,other
this trigger fires when a leak is detected by the specified device.,0.03,device_state
this trigger fires when a mode is armed.,0.03,device_state
this trigger fires when a mode is disarmed.,0.03,device_state
this trigger fires when a motion sensor becomes clear.,0.11,motion
this trigger fires when a motion sensor detects motion.,0.13,motion
this trigger fires when a new deal is posted on the frontpage at slickdeals,0.03,device_state
this trigger fires when a new disease outbreak update is posted the by world health organization.,0.03,other
this trigger fires when a new iot podcast episode is published.,0.03,other
this trigger fires when a nexia automation runs.,0.08,external_service
this trigger fires when a noonlight alarm is triggered.,0.03,external_service
this trigger fires when a particular cell is updated within the spreadsheet you specify.,0.03,external_service
this trigger fires when a person is detected on your swann security device,0.03,external_service
this trigger fires when a pet is detected on the selected swann security device.,0.03,external_service
this trigger fires when a routine is activated.,0.11,external_service
this trigger fires when a scheduled meeting ends.,0.08,device_state
this trigger fires when a scheduled meeting starts.,0.08,device_state
this trigger fires when a sound is detected by the selected swann security device.,0.03,audio
this trigger fires when a specified motion sensor tag(s) or reed sensor(s) detect that a door or window is open.,0.03,motion
this trigger fires when a task in a given list is completed,0.03,other
this trigger fires when a task is completed.,0.08,other
this trigger fires when a user is detected in or nearby your network.,0.05,device_state
this trigger fires when a user sends a message with the /ifttt command and a key phrase to the source group.,0.05,external_service
this trigger fires when a vehicle enters one of its geo-circles.,0.03,other
this trigger fires when a vehicle exits one of its geo-circles,0.03,other
this trigger fires when a vehicle is detected by the selected swann security device.,0.03,external_service
this trigger fires when a watering event is executed.,0.03,other
this trigger fires when a wyze cam detects a smoke alarm. the minimum firmware version required is v3.9.3.62 for v1 and v4.9.1.60 for v2.,0.03,external_service
this trigger fires when a wyze cam detects motion. the minimum firmware version required is v3.9.3.62 for v1 and v4.9.1.60 for v2.,0.18,motion
this trigger fires when a wyze cam detects sound. the minimum firmware version required is v3.9.3.62 for v1 and v4.9.1.60 for v2.,0.03,audio
this trigger fires when adaptors detect intrusion,0.03,other
this trigger fires when an abode alarm is active.,0.18,external_service
this trigger fires when an alarm event occurs.,0.05,external_service
this trigger fires when an alarm sounds.,0.05,external_service
this trigger fires when an event is triggered from your litter robot. ie. clean cycle completes,0.11,other
this trigger fires when an event related to the eight alarm happens.,0.03,external_service
this trigger fires when an ihome enhance button is pressed,0.24,manual_interaction
this trigger fires when an interesting event comes from a particular device. send events using particle.publish.,0.03,other
"this trigger fires when an issue occurs, such as low battery, device offline, etc.",0.05,other
this trigger fires when an ohmhour starts,0.03,device_state
this trigger fires when any goal moves into the red (imminent derailment).,0.03,other
this trigger fires when any or a specific door panel is opened.,0.05,device_state
this trigger fires when any or a specific motion sensor detects motion. your scout system must be in an armed state.,0.03,motion
this trigger fires when any user sends the /ifttt command to the source group.,0.03,external_service
this trigger fires when at least one family member has come home.,0.03,other
this trigger fires when away mode is canceled on my thermostat.,0.03,device_state
this trigger fires when away mode is on.,0.03,device_state
this trigger fires when bart is delayed at a station,0.03,other
this trigger fires when battery levels fall below normal levels for any vehicle in your account. the vehicle ingredient specifies the name of the vehicle with the problem.,0.03,other
this trigger fires when button is pressed.,0.03,manual_interaction
this trigger fires when caavo control center performs any search query.,0.05,other
this trigger fires when co2 emissions level is low,0.03,weather
this trigger fires when every family member has left.,0.03,motion
this trigger fires when everyone has gone to sleep.,0.03,other
this trigger fires when fetch-it button is pressed or long pressed.,0.03,manual_interaction
this trigger fires when global air pollution is higher than 50.,0.05,weather
this trigger fires when home mode is on.,0.03,device_state
this trigger fires when it's time for fast.,0.08,other
this trigger fires when it's time for prayer.,0.34,manual_interaction
this trigger fires when lock is unlocked,0.05,device_state
this trigger fires when motion is detected on the selected camera.,0.03,motion
this trigger fires when motion is detected.,0.03,motion
this trigger fires when my thermostat enters away mode.,0.03,device_state
this trigger fires when my total connect security panel receives an alarm,0.03,external_service
this trigger fires when no one of a user group is detected in or nearby your network.,0.05,device_state
this trigger fires when phyn detects an alert.,0.03,other
this trigger fires when pir detects person.,0.03,other
"this trigger fires when simcam detects a person in a specific area.(if you select 'special time', this trigger will run once in this time period. if you do not fill in this value, the trigger will run normally)",0.03,motion
this trigger fires when simcam recognizes a face id that set up.,0.05,motion
this trigger fires when sound is detected on the selected microphone,0.03,audio
this trigger fires when specified pir kumosensor detects movement.,0.05,motion
this trigger fires when tado⁠° switches to away mode.,0.13,device_state
this trigger fires when tado⁠° switches to home mode.,0.11,device_state
this trigger fires when the air quality goes below a given value.,0.03,weather
this trigger fires when the air quality measured from your air monitor is unhealthy. (indoor air quality value rises higher than 150 or your threshold setting),0.05,weather
this trigger fires when the alarm for a specific mode is dismissed.,0.03,external_service
this trigger fires when the alarm for a specific mode is triggered.,0.11,external_service
"this trigger fires when the alarm has changed mode. i.e. armed, disarmed or set to home shield mode. ",0.03,external_service
this trigger fires when the alarm is armed.,0.03,external_service
this trigger fires when the alarm is disarmed.,0.03,external_service
this trigger fires when the alarm is triggered,0.08,external_service
this trigger fires when the amount of renewable generation in the grid changes.,0.08,other
this trigger fires when the aqi of your device exceeds a selected threshold.,0.03,other
this trigger fires when the aqi of your device is updated.,0.05,other
this trigger fires when the co2 intensity in the electricity production is lowest between a starting time and a finish time and for a duration specified by you.,0.03,weather
this trigger fires when the cost of the device attached to your wemo insight switch rises above the daily value you specify.,0.03,other
this trigger fires when the co₂ level for a specific devices becomes lower than the specified threshold.,0.03,other
this trigger fires when the co₂ level for a specific devices exceeded a specified threshold.,0.05,other
this trigger fires when the daily rain measurement rises above a given threshold.,0.05,weather
this trigger fires when the device connected to fibaro home center detects motion.,0.03,motion
this trigger fires when the electricity price is lowest between a starting time and a finish time and for a duration specified by you.,0.03,pricing
"this trigger fires when the ema/metrosafe city agency in louisville, ky sends an emergency notification to the surrounding area.",0.03,motion
this trigger fires when the energy saving mode scene is activated,0.03,device_state
